,Folio,Folio,TC,Importe,IVA,RET ISR,RET IVA,TOTAL MX,TOTAL SAT
82,18558,107314,1.0,1415.88,226.54,0.0,0.0,1642.42,1642.42
83,368961,4143881,1.0,1415.88,226.54,0.0,0.0,1642.42,1642.42
84,4514,4143881,1.0,1415.88,226.54,0.0,0.0,1642.42,1642.42
85,1013656,6473,1.0,6324.0,1011.84,0.0,0.0,7335.84,7335.84
86,8569,23,1.0,0.0,0.0,0.0,0.0,0.0,0.0
87,74,57,1.0,0.0,0.0,0.0,0.0,0.0,0.0
88,244213,5097,1.0,-178.0,-28.48,0.0,0.0,-206.48,-206.48
89,34198,35304,1.0,4140.0,662.4,0.0,0.0,4802.4,4802.4
90,,2318,1.0,0.0,0.0,0.0,0.0,0.0,0.0
91,573890,12602,1.0,0.0,0.0,0.0,0.0,0.0,0.0
92,11121992,1282,1.0,500.0,80.0,0.0,0.0,580.0,580.0
93,,80255,1.0,3390.0,542.4,0.0,0.0,3932.4,3932.4
94,1680,5766,1.0,0.0,0.0,0.0,0.0,0.0,0.0
95,37332,161598,1.0,0.01,0.0,0.0,0.0,0.01,0.01
96,44863938,3191787,1.0,84.48,13.52,0.0,0.0,98.0,98.0
97,4573,5435,1.0,0.0,0.0,0.0,0.0,0.0,0.0
98,2883,3475,1.0,0.0,0.0,0.0,0.0,0.0,0.0
99,52470,3480,1.0,1000.0,160.0,0.0,0.0,1160.0,1160.0
100,9000,1320,1.0,0.0,0.0,0.0,0.0,0.0,0.0
101,6734,437202,1.0,199.8,31.97,0.0,0.0,231.77,231.77
102,7294,56,1.0,0.0,0.0,0.0,0.0,0.0,0.0
103,1201,238,1.0,0.0,0.0,0.0,0.0,0.0,0.0
104,178363,80308,1.0,937.45,149.99,0.0,0.0,1087.44,1087.44
105,7058,3315,1.0,937.45,149.99,0.0,0.0,1087.44,1087.44
106,93056,1811,1.0,1674.4,0.0,0.0,0.0,9374.49,9374.49
107,6814,1770,1.0,1674.4,0.0,0.0,0.0,9374.49,9374.49
108,155216,10854,1.0,1674.4,267.9,0.0,0.0,1942.3000000000002,1942.3
109,2108,13003228,1.0,332.89,53.26,0.0,0.0,386.15,386.15
110,75911,48430,1.0,332.89,53.26,0.0,0.0,386.15,386.15
111,5362,12915,1.0,0.0,0.0,0.0,0.0,0.0,0.0
112,244317,5473,1.0,1806.25,289.0,0.0,0.0,2095.25,2095.25
113,91211,4233131,1.0,0.0,0.0,0.0,0.0,0.0,627.0
114,16772,520,1.0,1131.57,181.05,0.0,0.0,1312.62,1312.62
115,1955427,72906,1.0,1131.57,181.05,0.0,0.0,1312.62,1312.62
116,67504,72907,1.0,320.0,0.0,0.0,0.0,320.0,320.0
117,75925,980,1.0,320.0,0.0,0.0,0.0,320.0,320.0
118,3548,93401,1.0,4233.83,677.41,0.0,0.0,4911.24,4911.24
119,29238,107655,1.0,4310.35,689.66,0.0,0.0,5000.01,5000.01
120,4835,107655,1.0,0.0,0.0,0.0,0.0,0.0,0.0
121,166109,107655,1.0,0.0,0.0,0.0,0.0,0.0,0.0
122,155375,273840,1.0,0.0,0.0,0.0,0.0,0.0,0.0
123,6560,771125,1.0,1236.9299999999998,197.91,0.0,0.0,1434.84,1434.84
124,931,458380,1.0,156.0,0.0,0.0,0.0,156.0,156.0
125,,2439,1.0,0.0,0.0,0.0,0.0,0.0,0.0
126,75943,1416,1.0,0.0,0.0,0.0,0.0,0.0,0.0
127,124,24713,1.0,1035.83,161.09,0.0,0.0,1196.9199999999998,1196.92
128,140424,635,1.0,1480.0,236.8,0.0,0.0,1716.8,1716.8
129,1031,3021,1.0,6137.9400000000005,982.0704000000001,0.0,0.0,7120.010400000001,348.0
130,2480,AT000522,1.0,3500.0,560.0,0.0,0.0,4060.0,4060.0
131,11254684,426142,1.0,2663.0,426.08,0.0,0.0,3089.08,3089.08
132,1698,3928447,1.0,0.0,0.0,0.0,0.0,0.0,0.0
133,75951,8811090280022099,1.0,2250.0,360.0,0.0,0.0,2610.0,2610.0
134,777,9263,1.0,176.13,28.17,0.0,0.0,204.3,204.3
135,087055,4237771,1.0,0.0,0.0,0.0,0.0,0.0,1987.0
136,44284,8502139,1.0,896.2,0.0,0.0,0.0,896.2,896.2
137,155565,8505341,1.0,4280.0,0.0,0.0,0.0,4280.0,4280.0
138,4660309,55315,1.0,2295.0,367.2,0.0,0.0,2662.2,2662.2
139,003710181,80520,1.0,7862.25,158.49,0.0,0.0,9120.21,9120.21
140,59539,3407,1.0,990.54,158.49,0.0,0.0,1149.03,1149.03
141,202212-E2341533107-16012023-303989,5795,1.0,0.0,0.0,0.0,0.0,0.0,0.0
142,528740,1841,1.0,0.0,0.0,0.0,0.0,9905.47,9905.47
143,91328,1607,1.0,0.0,0.0,0.0,0.0,0.0,0.0
144,71151,MAT_2061_00001,1.0,0.0,0.0,0.0,0.0,0.0,0.0
145,4584,164993,1.0,157.76,25.24,0.0,0.0,183.0,183.0
146,174669,164993,1.0,157.76,25.24,0.0,0.0,183.0,183.0
147,16301,164993,1.0,0.01,0.0,0.0,0.0,0.01,0.01
148,1246,22927486,1.0,193.19,30.91,0.0,0.0,224.1,224.1
149,1183516,171758,1.0,1739.0,278.24,0.0,0.0,2017.24,2017.24
150,16,509,1.0,428.57,68.57,0.0,0.0,497.14,510.0
151,6863,72942,1.0,0.0,0.0,0.0,0.0,0.0,0.0
152,6864,26618,1.0,0.0,0.0,0.0,0.0,0.0,0.0
153,22822,3026,1.0,0.0,0.0,0.0,0.0,0.0,0.0
154,359332,3868,1.0,0.0,0.0,0.0,0.0,0.0,0.0
155,8608,1204965,1.0,0.0,0.0,0.0,0.0,0.0,0.0
156,AP37740,1204965,1.0,0.0,0.0,0.0,0.0,0.0,0.0
157,7087,1204965,1.0,531.84,85.09,0.0,0.0,616.9300000000001,616.93
158,91461,2327,1.0,6700.0,0.0,0.0,0.0,6700.0,6700.0
159,16933,5968,1.0,3900.0,624.0,0.0,0.0,4524.0,4524.0
160,1912,5969,1.0,5300.0,848.0,0.0,0.0,6148.0,6148.0
161,8811090280022099,4944,1.0,3084.9,493.58,0.0,0.0,3578.48,3578.48
162,155827,5489,1.0,7208.0,688.17,0.0,0.0,8361.28,8361.28
163,24116,108072,1.0,4301.05,688.17,0.0,0.0,4989.22,4989.22
164,202300036,000061539043,1.0,0.0,0.0,0.0,0.0,0.0,0.0
165,59599,8344,1.0,1706.9,273.1,0.0,0.0,1980.0,1980.0
166,75989,8345,1.0,1676.72,268.28,0.0,0.0,1945.0,1945.0
167,34323,512,1.0,428.57,68.57,0.0,0.0,497.14,510.0
168,2,1690,1.0,4000.0,640.0,0.0,0.0,4640.0,4640.0
169,3670,7104,1.0,969.83,155.17,0.0,0.0,1125.0,1125.0
170,35556,595,1.0,2155.17,344.83,0.0,0.0,2500.0,2500.0
171,29494,166319,1.0,0.0,0.0,0.0,0.0,0.0,0.0
172,29495,2365,1.0,0.0,0.0,0.0,0.0,0.0,0.0
173,5326,9693,1.0,0.0,0.0,0.0,0.0,0.0,0.0
174,14,676740,1.0,156.0,0.0,0.0,0.0,156.0,156.0
175,13684,8348,1.0,137.93,22.07,0.0,0.0,160.0,160.0
176,67818,8348,1.0,159.48,25.52,0.0,0.0,185.0,185.0
177,AP37827,8348,1.0,1583.62,253.38,0.0,0.0,1837.0,1837.0
178,140984,8349,1.0,1432.76,229.24,0.0,0.0,1662.0,1662.0
179,244860,5480,1.0,0.0,0.0,0.0,0.0,0.0,0.0
180,244893,514,1.0,428.57,68.57,0.0,0.0,497.14,510.0
181,122232,193,1.0,0.0,0.0,0.0,0.0,0.0,0.0
182,58229526,194,1.0,0.0,0.0,0.0,0.0,0.0,0.0
183,4601,202112-E2341533107-17012022-383535,1.0,0.0,0.0,0.0,0.0,0.0,0.0
184,2924,1323,1.0,0.0,0.0,0.0,0.0,0.0,0.0
185,3416,49321,1.0,181.03,28.97,0.0,0.0,210.0,210.0
186,11350761,72961,1.0,1131.57,181.05,0.0,0.0,1312.62,1312.62
187,977,3382,1.0,0.0,0.0,0.0,0.0,0.0,0.0
188,1945,220128-000267666572,1.0,2991.43,478.77,0.0,0.0,3470.2,3470.2
189,1711,5719,1.0,0.0,0.0,0.0,0.0,0.0,0.0
190,1713,5724,1.0,0.0,0.0,0.0,0.0,0.0,0.0
191,,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0
192,4668864,8501,1.0,874.04,136.0,0.0,0.0,1010.04,1010.04
193,230129-000380176190,8617052,1.0,3222.46,0.0,0.0,0.0,3222.46,3222.46
194,8,50,1.0,0.0,0.0,0.0,0.0,0.0,0.0
195,7218,757339,1.0,0.0,0.0,0.0,0.0,0.0,0.0
196,7317,1092957089,1.0,5551.38,401.31,0.0,0.0,9129.62,9129.62
197,4443,1243058,1.0,5551.38,0.0,0.0,0.0,9129.62,9129.62
198,4148,80688,1.0,5551.38,888.22,0.0,0.0,6439.6,6439.6
199,2325,285531,1.0,5551.38,888.22,0.0,0.0,6439.6,6439.6
200,2327,285532,1.0,5551.98,888.32,0.0,0.0,6440.299999999999,6440.3
201,AP37906,0001010100750847116902,1.0,980.0,156.8,0.0,0.0,1136.8,1136.8
202,10058,007817297284,1.0,0.0,0.0,0.0,0.0,0.0,0.0
203,000013015,518,1.0,327.73,52.44,0.0,0.0,380.17,390.0
204,29651,519,1.0,327.73,52.44,0.0,0.0,380.17,390.0
205,MAT_2611_00001,53715,1.0,3627.87,580.46,0.0,0.0,4208.33,4208.33
206,693,8626206,1.0,289.0,0.0,0.0,0.0,289.0,289.0
207,75,55543,1.0,525.0,84.0,0.0,0.0,609.0,609.0
208,129,80,1.0,0.0,0.0,0.0,0.0,0.0,0.0
209,000013085,27177936,1.0,2400.0,0.0,0.0,0.0,2400.0,2400.0
210,81006,20044,1.0,1107.43,172.79,0.0,0.0,1280.22,1280.22
211,873147,AT000636,1.0,3500.0,560.0,0.0,0.0,4060.0,4060.0
212,1092957089,730,1.0,4543.1,726.9,0.0,0.0,5270.0,5270.0
213,003731914,215,1.0,7319.16,17.52,0.0,0.0,8490.23,8490.23
214,1437823,5739,1.0,7319.16,17.52,0.0,0.0,8490.23,8490.23
215,91097,2301,1.0,109.48,17.52,0.0,0.0,127.0,127.0
216,25,2302,1.0,212.07,33.93,0.0,0.0,246.0,246.0
217,17340,2303,1.0,256.9,41.1,0.0,0.0,298.0,298.0
218,346612,887,1.0,0.0,0.0,0.0,0.0,0.0,0.0
219,346613,4959,1.0,998.4,159.74,0.0,0.0,1158.1399999999999,1158.14
220,346806,3095679,1.0,148.28,23.72,0.0,0.0,172.0,172.0
221,0001010100750847116902,362085505,1.0,67.58999999999999,4.41,0.0,0.0,71.99999999999999,72.0
222,007817297284,3282,1.0,948.27,151.72,0.0,0.0,1099.99,1099.99
223,4620,3425,1.0,1042.24,166.76,0.0,0.0,1209.0,1209.0
224,3883,412165,1.0,25.86,4.14,0.0,0.0,30.0,30.0
225,151063,PP383535,1.0,296.56,47.44,0.0,0.0,344.0,344.0
226,1582,PP383535,1.0,97.41,0.0,0.0,0.0,113.0,113.0
227,1583,437945,1.0,97.41,15.59,0.0,0.0,113.0,113.0
228,151696,4281,1.0,0.0,0.0,0.0,0.0,0.0,0.0
229,81670,8104229,1.0,451.72,72.28,0.0,0.0,524.0,524.0
230,0051458747,16280866,1.0,705.61,109.99,0.0,0.0,815.6,815.6
231,3988,3677513,1.0,577.6,92.4,0.0,0.0,670.0,670.0
232,29777,1207304,1.0,1553.68,248.59,0.0,0.0,1802.27,1802.27
233,58500060,139652,1.0,6564.06,41.38,0.0,0.0,7614.320000000001,7614.32
234,156414,139652,1.0,258.63,41.38,0.0,0.0,300.01,300.01
235,4677594,13056,1.0,8954.38,206.72,0.0,0.0,1498.7,10387.08
236,3006,19634693,1.0,1291.98,206.72,0.0,0.0,1498.7,1498.7
237,1723,1993,1.0,4127.5,0.0,0.0,0.0,4787.9,4787.9
238,1732,9329,1.0,4127.5,660.4,0.0,0.0,4787.9,4787.9
239,1584,160023,1.0,0.0,0.0,0.0,0.0,0.0,0.0
240,76055,160024,1.0,0.0,0.0,0.0,0.0,0.0,0.0
241,1275,420220101898904,1.0,0.0,0.0,0.0,0.0,0.0,0.0
242,1297,420220101898904,1.0,0.0,0.0,0.0,0.0,0.0,0.0
243,141431,22022010028311,1.0,0.0,0.0,0.0,0.0,0.0,0.0
244,,4145508,1.0,531.9,85.1,0.0,0.0,617.0,617.0
245,91714609,4145539,1.0,531.9,85.1,0.0,0.0,617.0,617.0
246,135961,80,1.0,2500.0,400.0,0.0,0.0,2900.0,2900.0
247,81322,7135,1.0,517.24,82.76,0.0,0.0,600.0,600.0
248,91664,63,1.0,0.0,0.0,0.0,0.0,0.0,0.0
249,7239,63,1.0,0.0,0.0,0.0,0.0,0.0,0.0
250,1851,63,1.0,0.0,0.0,0.0,0.0,0.0,0.0
251,205544,63,1.0,0.0,0.0,0.0,0.0,0.0,0.0
252,205545,63,1.0,0.0,0.0,0.0,0.0,0.0,0.0
253,205707,63,1.0,0.0,0.0,0.0,0.0,0.0,0.0
254,156496,63,1.0,0.0,0.0,0.0,0.0,0.0,0.0
255,11330,63,1.0,0.0,0.0,0.0,0.0,0.0,0.0
256,2807,63,1.0,0.0,0.0,0.0,0.0,0.0,0.0
257,,63,1.0,0.0,0.0,0.0,0.0,0.0,0.0
258,420230101898904,63,1.0,0.0,0.0,0.0,0.0,0.0,0.0
259,420230101898904,63,1.0,0.0,0.0,0.0,0.0,0.0,0.0
260,22023010028311,63,1.0,0.0,0.0,0.0,0.0,0.0,0.0
261,91854468,63,1.0,0.0,0.0,0.0,0.0,0.0,0.0
262,,73008,1.0,6057.5,969.2,0.0,0.0,7026.7,7026.7
263,13254,26814,1.0,0.0,0.0,0.0,0.0,0.0,0.0
264,21041838,79937640,1.0,1717.25,0.0,0.0,0.0,1717.25,1717.25
265,1998,3655,1.0,2160.97,345.76,0.0,0.0,2506.7299999999996,2506.73
266,4583,447687,1.0,378.0,60.48,0.0,0.0,438.48,438.48
267,13004204,108627,1.0,3158.95,505.44,0.0,0.0,3664.39,3664.39
268,76077,11912641,1.0,-193.19,-30.91,0.0,0.0,-224.1,-224.1
269,15549,119758,1.0,1619.8,259.17,0.0,0.0,1878.97,1878.97
270,24242,119759,1.0,3579.44,572.71,0.0,0.0,4152.15,4152.15
271,174811,894150,1.0,4214.96,674.39,0.0,0.0,4889.35,4889.35
272,843739,894150,1.0,78.0,0.0,0.0,0.0,78.0,78.0
273,6587,33172992,1.0,0.0,0.0,0.0,0.0,0.0,0.0
274,43,63293,1.0,136.2,21.79,0.0,0.0,157.98999999999998,157.99
275,91801,9832,1.0,260.43,41.67,0.0,0.0,302.1,302.1
276,18806,2633,1.0,1600.0,0.0,0.0,0.0,1600.0,1600.0
277,969491,220,1.0,494.5,79.12,0.0,0.0,573.62,573.62
278,2671,139824,1.0,494.5,79.12,0.0,0.0,573.62,573.62
279,261,80923,1.0,3350.0,536.0,0.0,0.0,3886.0,3886.0
280,17489,3714,1.0,2072.35,331.58,0.0,0.0,2403.93,2403.93
281,156829,455362,1.0,284.0,45.44,0.0,0.0,329.44,329.44
282,76117,456259,1.0,333.0,53.28,0.0,0.0,386.28,386.28
283,1317,2048,1.0,2000.0,0.0,0.0,0.0,10348.0,10348.0
284,141773,1583694,1.0,2000.0,48.0,0.0,0.0,10348.0,10348.0
285,4113,3524,1.0,2000.0,320.0,0.0,0.0,2320.0,2320.0
286,30022,73040,1.0,1275.0,204.0,0.0,0.0,1479.0,1479.0
287,7118,4413,1.0,400.0,64.0,0.0,0.0,464.0,464.0
288,91853,13065,1.0,1402.5,224.4,0.0,0.0,1626.9,1626.9
289,96269,80970,1.0,1402.5,224.4,0.0,0.0,1626.9,1626.9
290,13795,5551,1.0,1402.5,224.4,0.0,0.0,1626.9,1626.9
291,174829,3289,1.0,0.0,0.0,0.0,0.0,0.0,0.0
292,22799,487,1.0,0.0,0.0,0.0,0.0,0.0,0.0
293,245680,2202,1.0,5349.66,855.95,0.0,0.0,5100.009999999999,5100.01
294,501760,55797,1.0,589.0,94.24,0.0,0.0,683.24,683.24
295,23301,120130,1.0,2354.32,376.69,0.0,0.0,2721.8700000000003,2721.87
296,1981295,1275,1.0,8620.69,836.69,0.0,0.0,10000.0,10000.0
297,44957121,1276,1.0,5229.31,836.69,0.0,0.0,6066.0,6066.0
298,2042,599,1.0,4975.0,796.0,0.0,0.0,5771.0,5771.0
299,4644,261,1.0,0.0,0.0,0.0,0.0,0.0,0.0
300,135,35484,1.0,2940.0,470.4,0.0,0.0,3410.4,3410.4
301,3792,6034,1.0,4290.0,686.4,0.0,0.0,4976.4,4976.4
302,7546,4985,1.0,1739.0,278.24,0.0,0.0,2017.24,2017.24
303,96370,567,1.0,900.0,144.0,0.0,0.0,1044.0,1044.0
304,23806,10031,1.0,481.81,77.09,0.0,0.0,558.9,558.9
305,19220,11290,1.0,260.0,0.0,0.0,0.0,260.0,260.0
306,1407,8708406,1.0,260.0,0.0,0.0,0.0,260.0,260.0
307,92008,55850,1.0,0.0,0.0,0.0,0.0,0.0,0.0
308,979579,109153,1.0,0.0,0.0,0.0,0.0,0.0,0.0
309,17822,109153,1.0,193.97,31.04,0.0,0.0,225.01,225.01
310,3898,15431,1.0,193.97,31.04,0.0,0.0,225.01,225.01
311,9179,000061983066,1.0,5215.55,772.67,0.0,0.0,5988.22,5988.22
312,76,20511,1.0,343.97,55.03,0.0,0.0,399.0,399.0
313,34584,73091,1.0,36.43,5.83,0.0,0.0,42.26,42.26
314,4401,15980,1.0,36.43,5.83,0.0,0.0,42.26,42.26
315,30235,81107,1.0,8400.9,0.0,0.0,0.0,9745.039999999999,9745.04
316,6970,44107,1.0,0.0,0.0,0.0,0.0,0.0,0.0
317,157378,4261636,1.0,0.0,0.0,0.0,0.0,0.0,3488.2
318,0098856175,73114,1.0,1573.43,251.75,0.0,0.0,1500.0100000000002,1500.01
319,4692844,51,1.0,1573.43,251.75,0.0,0.0,1500.0100000000002,1500.01
320,4692854,94326,1.0,1573.43,251.75,0.0,0.0,1500.0100000000002,1500.01
321,1764,94326,1.0,3062.69,490.03,0.0,0.0,3552.7200000000003,3552.72
322,7366,5761,1.0,7299.08,832.0,0.0,0.0,8466.93,8466.93
323,7367,81159,1.0,5200.0,832.0,0.0,0.0,6032.0,6032.0
324,8705,3903,1.0,2374.29,379.89,0.0,0.0,2754.18,2754.18
325,142210,2207,1.0,0.0,0.0,0.0,0.0,0.0,0.0
326,245950,1622,1.0,0.0,0.0,0.0,0.0,0.0,0.0
327,,109397,1.0,3050.7,488.11,0.0,0.0,3538.81,3538.81
328,30310,109470,1.0,3050.7,488.11,0.0,0.0,3538.81,3538.81
329,1740,4262583,1.0,0.0,0.0,0.0,0.0,0.0,1145.45
330,4656,171957,1.0,6324.0,1011.84,0.0,0.0,7335.84,7335.84
331,4693896,6573,1.0,6324.0,1011.84,0.0,0.0,7335.84,7335.84
332,19228,56004,1.0,2200.0,352.0,0.0,0.0,2552.0,2552.0
333,60012,8916,1.0,188.75,30.2,0.0,0.0,218.95,218.95
334,7370,27111,1.0,0.0,0.0,0.0,0.0,0.0,0.0
335,4695015,600,1.0,2100.0,336.0,0.0,0.0,2436.0,2436.0
336,11609429,43697,1.0,309.0,49.44,0.0,0.0,358.44,358.44
337,1755,3914,1.0,0.0,0.0,0.0,0.0,0.0,0.0
338,,2516,1.0,0.0,0.0,0.0,0.0,0.0,0.0
339,137,81202,1.0,48.28,7.72,0.0,0.0,56.0,56.0
340,60853,413583,1.0,48.28,7.72,0.0,0.0,56.0,56.0
341,30415,4146655,1.0,949.38,151.9,0.0,0.0,1101.28,1101.28
342,157692,56068,1.0,252.0,40.32,0.0,0.0,292.32,292.32
343,,4949471,1.0,960.0,0.0,0.0,0.0,960.0,960.0
344,1777,4949474,1.0,306.0,0.0,0.0,0.0,306.0,306.0
345,76207,94401,1.0,109.31,17.49,0.0,0.0,126.8,126.8
346,76208,642,1.0,5192.0,830.72,0.0,0.0,6022.72,6022.72
347,34646,3106,1.0,0.0,0.0,0.0,0.0,0.0,0.0
348,81969,3107,1.0,0.0,0.0,0.0,0.0,0.0,0.0
349,81978,775956,1.0,2739.4799999999996,438.29,0.0,0.0,3177.7699999999995,3177.77
350,13662,252206,1.0,18.97,3.03,0.0,0.0,22.0,22.0
351,92248,117033,1.0,1918.34,306.93,0.0,0.0,2225.27,2225.27
352,18013,140329,1.0,258.63,41.38,0.0,0.0,300.01,300.01
353,7002,3403,1.0,0.0,0.0,0.0,0.0,0.0,0.0
354,4554,138284582,1.0,0.0,0.0,0.0,0.0,0.0,0.0
355,,7202,1.0,2000.0,320.0,0.0,0.0,2320.0,2320.0
356,210167,202201-E2341533107-15022022-303300,1.0,0.0,0.0,0.0,0.0,0.0,0.0
357,2439068,3549,1.0,0.0,0.0,0.0,0.0,0.0,0.0
358,23636,120724,1.0,2376.23,380.2,0.0,0.0,2756.43,2756.43
359,9137,334250,1.0,117.0,0.0,0.0,0.0,117.0,117.0
360,328500,109675,1.0,0.0,0.0,0.0,0.0,0.0,0.0
361,5504076496,54017,1.0,0.0,0.0,0.0,0.0,0.0,0.0
362,4182430,54017,1.0,0.0,0.0,0.0,0.0,0.0,0.0
363,142602,54017,1.0,2898.0,463.68,0.0,0.0,3361.68,3361.68
364,83387,8787318,1.0,4101.0,0.0,0.0,0.0,4101.0,4101.0
