,FOLIO,TC,IMPORTE,IVA,RET ISR,RET IVA,TOTAL MX,TOTAL SAT
0,0001010100750847116902,1.0,490.0,78.4,0.0,0.0,568.4,568.4
1,0001010100752163714102,1.0,345.0,55.2,0.0,0.0,400.2,400.2
2,19788,1.0,3447.41,551.59,0.0,0.0,3999.0,3999.0
3,211781,1.0,5551.38,888.22,0.0,0.0,6439.6,6439.6
4,211782,1.0,5551.98,888.32,0.0,0.0,6440.299999999999,6440.3
5,4101,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,32322,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,9231013,1.0,0.0,0.0,0.0,0.0,0.0,599.0
8,9231022,1.0,0.0,0.0,0.0,0.0,0.0,335.37
9,9231026,1.0,0.0,0.0,0.0,0.0,0.0,495.64
10,1747,1.0,0.0,0.0,0.0,0.0,0.0,0.0
11,147,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2798,1.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2801,1.0,0.0,0.0,0.0,0.0,0.0,0.0
14,935,1.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2693,1.0,0.0,0.0,0.0,0.0,0.0,0.0
16,4946,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17,605547,1.0,360.0,57.6,0.0,0.0,417.6,417.6
18,108830,1.0,0.0,0.0,0.0,0.0,0.0,0.0
19,108831,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2271,1.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2272,1.0,0.0,0.0,0.0,0.0,0.0,0.0
22,22020120028311,1.0,0.0,0.0,0.0,0.0,0.0,0.0
23,40623611,1.0,148.36,23.74,0.0,0.0,172.10000000000002,172.1
24,25921,1.0,2397.5,383.6,0.0,0.0,2781.1,2781.1
25,,1.0,2132.17,395.17,0.0,0.0,2527.34,2527.34
26,,1.0,463.55,85.46,0.0,0.0,549.01,549.01
27,4329,1.0,0.0,0.0,0.0,0.0,0.0,0.0
28,69490,1.0,7517.26,1202.76,0.0,0.0,8720.02,8720.02
29,608511,1.0,338.0,54.08,0.0,0.0,392.08,392.08
30,9273592,1.0,0.0,0.0,0.0,0.0,0.0,605.65
31,9274025,1.0,0.0,0.0,0.0,0.0,0.0,198.0
32,82798,1.0,8945.78,55.03,0.0,0.0,10377.1,10377.1
33,16955,1.0,343.97,55.03,0.0,0.0,399.0,399.0
34,373807,1.0,38.8,6.21,0.0,0.0,45.01,45.01
35,60,1.0,1700.0,272.0,0.0,0.0,1972.0,1972.0
36,420201201898904,1.0,0.0,0.0,0.0,0.0,0.0,0.0
37,420201201898904,1.0,0.0,0.0,0.0,0.0,0.0,0.0
38,70056,1.0,3940.0,630.4,0.0,0.0,4570.4,4570.4
39,70057,1.0,0.0,0.0,0.0,0.0,0.0,0.0
40,18444,1.0,0.0,0.0,0.0,0.0,0.0,0.0
41,40649100,1.0,145.26,23.24,0.0,0.0,168.5,168.5
42,4562,1.0,1340.0,214.4,0.0,0.0,1554.4,1554.4
43,4563,1.0,7800.0,1248.0,0.0,0.0,9048.0,9048.0
44,4564,1.0,1200.0,192.0,0.0,0.0,1392.0,1392.0
45,4565,1.0,9100.0,256.0,0.0,0.0,10556.0,10556.0
46,4566,1.0,1600.0,256.0,0.0,0.0,1856.0,1856.0
47,4567,1.0,8290.0,1326.4,0.0,0.0,9616.4,9616.4
48,4568,1.0,480.0,76.8,0.0,0.0,556.8,556.8
49,4569,1.0,1919.5,307.12,0.0,0.0,2226.62,2226.62
50,18061295,1.0,1207.46,193.19,0.0,0.0,1400.65,1400.65
51,3339,1.0,2204.84,352.77,0.0,0.0,2557.61,2557.61
52,2807,1.0,8146.2,1303.39,0.0,0.0,8960.82,8960.82
53,4059,1.0,740.0,118.4,0.0,0.0,858.4,858.4
54,2036,1.0,740.0,118.4,0.0,0.0,858.4,858.4
55,43356,1.0,580.0,92.8,0.0,0.0,672.8,672.8
56,3811,1.0,0.0,0.0,0.0,0.0,0.0,0.0
57,101855,1.0,331.54,53.05,0.0,0.0,384.59000000000003,384.59
58,40676333,1.0,15.09,2.41,0.0,0.0,17.5,17.5
59,576,1.0,1800.0,288.0,0.0,0.0,2088.0,2088.0
60,69552,1.0,1800.0,288.0,0.0,0.0,2088.0,2088.0
61,4574,1.0,1800.0,288.0,0.0,0.0,2088.0,2088.0
